# nombre de cas | sorted | mixed | opti | abc
10 85 57 54 52
20 99 67 59 57
30 99 72 64 62
40 100 77 71 64
50 99 82 69 67
60 100 86 74 70
70 100 88 76 72
80 100 90 75 74
90 100 90 78 73
100 100 92 79 77
110 99 96 79 79
120 100 96 80 78
130 100 95 81 79
140 100 97 83 80
150 100 97 83 85
160 99 97 86 84
170 100 98 84 83
180 100 97 84 80
190 100 99 86 85
200 99 98 86 84
300 100 99 93 93
400 100 100 95 94
500 100 100 97 95
600 100 99 99 98
700 100 100 99 97
800 100 100 99 98
900 100 100 99 99
1000 100 100 100 99
1100 100 100 99 99
1200 100 100 100 100
1300 100 100 100 99
1400 100 100 100 100
1500 99 100 99 100
1600 100 100 100 100
1700 100 99 100 100
